,beds,baths,size,lot_size,price
326,3,2.5,16128,5100.0,yes
327,3,2.0,16128,4850.0,yes
328,3,3.5,16128,5346.0,yes
329,3,1.0,16128,13503.6,yes
330,4,4.0,16128,5000.0,yes
331,4,2.5,16128,5229.0,yes
332,2,1.0,16128,8863.0,yes
333,3,2.0,16128,4960.0,yes
334,4,2.0,16128,8100.0,yes
335,3,2.0,16128,5346.0,yes
336,4,3.5,16128,1544.0,yes
337,3,2.0,16128,3740.0,yes
338,1,1.0,16128,3871.059694427803,yes
339,3,3.0,16128,7200.0,yes
340,1,1.0,16128,3871.059694427803,yes
341,2,1.0,16128,6750.0,yes
342,2,2.5,16128,3871.059694427803,yes
343,2,1.5,16128,3871.059694427803,yes
344,3,1.0,16128,8100.0,yes
345,2,2.0,16128,8280.0,yes
346,1,1.0,16128,12632.4,yes
347,2,1.5,16128,3871.059694427803,yes
348,4,2.0,16128,6000.0,yes
349,3,2.0,16128,5400.0,yes
350,3,1.0,16128,7800.0,yes
351,2,2.0,16128,1247.0,yes
352,3,3.5,16128,1880.0,yes
353,4,3.0,16128,5100.0,yes
354,4,2.0,16128,4764.0,yes
355,2,1.0,16128,10454.4,yes
356,2,1.5,16128,1518.0,yes
357,6,3.5,16128,5150.0,yes
358,3,2.0,16128,1102.0,yes
359,2,1.5,16128,10890.0,yes
360,3,3.5,16128,1498.0,yes
361,1,1.0,16128,25700.399999999998,yes
362,2,2.0,16128,23086.800000000003,yes
363,2,2.5,16128,1030.0,yes
364,3,3.5,16128,25700.399999999998,yes
365,3,2.0,16128,5800.0,yes
366,4,3.5,16128,6146.0,yes
367,3,2.0,16128,7200.0,yes
368,3,2.5,16128,1483.0,yes
369,2,1.0,16128,7425.0,no
370,3,2.0,16128,4950.0,no
371,2,2.5,16128,5000.0,yes
372,3,1.0,16128,4480.0,yes
373,3,3.0,16128,6721.0,yes
374,4,2.5,16128,3600.0,yes
375,1,1.0,16128,3871.059694427803,yes
376,4,1.0,16128,6000.0,yes
377,3,2.0,16128,4656.0,yes
378,3,2.0,16128,6396.0,yes
379,1,1.0,16128,3871.059694427803,yes
380,2,2.0,16128,3871.059694427803,yes
381,4,2.0,16128,6120.0,yes
382,3,2.0,16128,43560.0,yes
383,2,2.5,16128,1027.0,yes
384,2,2.0,16128,3871.059694427803,yes
385,1,1.0,16128,3871.059694427803,yes
386,4,2.5,16128,5000.0,yes
387,2,2.0,16128,617.0,yes
388,2,2.0,16128,1175.0,yes
389,2,2.0,16128,800.0,yes
390,4,2.5,16128,2352.0,yes
391,1,1.0,16128,11325.6,yes
392,4,3.0,16128,43560.0,yes
393,4,3.0,16128,7200.0,yes
394,2,2.0,16128,5400.0,yes
395,2,2.5,16128,3871.059694427803,yes
396,5,2.5,16128,4069.0,no
397,3,2.0,16128,4400.0,no
398,1,1.0,16128,5250.0,yes
399,3,2.0,16128,752.0,yes
400,1,1.0,16128,3871.059694427803,yes
401,5,3.0,16128,3400.0,yes
402,4,2.5,16128,6250.0,yes
403,4,2.5,16128,3770.0,yes
404,4,3.0,16128,6550.0,yes
405,2,2.0,16128,3871.059694427803,yes
406,5,3.0,16128,7865.0,yes
407,4,2.5,16128,6099.0,yes
408,3,2.0,16128,3000.0,yes
409,3,1.5,16128,6270.0,yes
410,1,1.0,16128,3871.059694427803,yes
411,1,1.0,16128,50965.2,yes
412,4,2.0,16128,5996.0,yes
413,4,3.0,16128,5750.0,yes
414,2,1.0,16128,5017.0,yes
415,3,2.0,16128,5000.0,yes
416,4,3.0,16128,3880.0,yes
417,4,5.0,16128,12632.4,yes
418,3,3.5,16128,905.0,yes
419,2,3.5,16128,37461.6,yes
420,3,3.0,16128,5996.0,yes
421,3,2.0,16128,6000.0,no
422,2,1.0,16128,3780.0,no
423,3,3.5,16128,2322.0,yes
424,3,3.5,16128,1659.0,yes
425,3,1.0,16128,5100.0,yes
426,4,2.5,16128,13068.0,yes
427,2,3.0,16128,4148.0,yes
428,3,2.0,16128,4000.0,yes
429,9,5.0,16128,5303.0,yes
430,2,1.5,16128,3871.059694427803,yes
431,4,1.5,16128,10454.4,yes
432,1,1.0,16128,3871.059694427803,yes
433,3,2.5,16128,1690.0,yes
434,6,4.0,16128,3796.0,yes
435,4,2.0,16128,5100.0,yes
436,2,2.0,16128,3871.059694427803,yes
437,2,2.0,16128,400751.99999999994,yes
438,3,2.0,16128,43560.0,yes
439,3,4.5,16128,7000.0,yes
440,4,2.5,16128,8000.0,yes
441,2,2.0,16128,7200.0,no
442,2,2.0,16128,815.0,no
443,4,3.5,16128,4800.0,yes
444,2,2.0,16128,3871.059694427803,yes
445,2,2.0,16128,3871.059694427803,yes
446,5,2.0,16128,3848.0,yes
447,3,2.0,16128,8710.0,yes
448,2,1.5,16128,41817.6,yes
449,3,2.0,16128,4400.0,yes
450,2,1.0,16128,6090.0,yes
451,1,1.0,16128,46173.600000000006,yes
452,1,1.0,16128,3871.059694427803,yes
453,2,1.0,16128,5896.0,no
454,3,2.5,16128,1342.0,no
455,1,1.0,16128,3871.059694427803,yes
456,3,3.0,16128,8612.0,yes
457,2,1.5,16128,1726.0,yes
458,3,0.5,16128,3726.0,yes
459,3,2.5,16128,3999.0,yes
460,2,1.0,16128,16988.4,yes
461,2,2.5,16128,1112.0,yes
462,3,2.0,16128,4400.0,yes
463,2,3.5,16128,3871.059694427803,yes
464,3,1.0,16128,7669.0,yes
465,2,1.0,16128,176853.59999999998,yes
466,3,1.5,16128,6350.0,yes
467,2,1.0,16128,4500.0,yes
468,2,2.0,16128,6800.0,yes
469,2,1.0,16128,4800.0,yes
470,1,1.0,16128,3871.059694427803,yes
471,2,1.5,16128,5000.0,yes
472,3,1.0,16128,4000.0,yes
473,5,3.5,16128,6200.0,yes
474,3,3.0,16128,4800.0,yes
475,4,2.5,16128,1881.0,yes
476,5,2.5,16128,7464.0,yes
477,1,1.0,16128,10018.800000000001,yes
478,2,2.0,16128,10018.800000000001,yes
479,1,1.0,16128,3871.059694427803,yes
480,3,2.0,16128,2211.0,yes
481,4,2.5,16128,6582.0,yes
482,4,2.0,16128,6800.0,yes
483,2,1.0,16128,3871.059694427803,yes
484,4,3.5,16128,6250.0,yes
485,3,3.0,16128,4227.0,yes
486,3,2.5,16128,1036.0,yes
487,2,3.0,16128,593.0,yes
488,6,3.5,16128,5580.0,yes
489,3,2.5,16128,1418.0,yes
490,3,2.5,16128,6925.0,yes
491,2,1.0,16128,3871.059694427803,yes
492,1,1.0,16128,11761.2,yes
493,5,3.0,16128,7500.0,yes
494,4,3.0,16128,9750.0,yes
495,3,2.0,16128,4000.0,yes
496,4,3.5,16128,1792.0,yes
497,3,2.5,16128,7206.0,yes
498,4,2.0,16128,4700.0,yes
499,2,2.0,16128,3871.059694427803,yes
500,2,1.0,16128,14810.400000000001,yes
501,3,2.5,16128,1873.0,yes
502,3,1.0,16128,7080.0,yes
503,3,2.0,16128,4000.0,yes
504,1,1.0,16128,3871.059694427803,yes
505,3,2.0,16128,1056.0,yes
506,4,2.0,16128,3326.0,yes
507,1,1.0,16128,3871.059694427803,yes
508,2,1.5,16128,938.0,yes
509,2,1.0,16128,6734.0,yes
510,5,4.5,16128,6180.0,yes
511,3,1.5,16128,4800.0,yes
512,3,2.0,16128,2332.0,yes
513,1,1.0,16128,5100.0,yes
514,2,2.0,16128,3871.059694427803,yes
515,2,1.5,16128,3871.059694427803,yes
516,4,3.0,16128,15245.999999999998,yes
517,2,2.0,16128,3871.059694427803,yes
518,4,3.5,16128,7469.0,yes
519,2,1.0,16128,3871.059694427803,yes
520,3,1.0,16128,16117.199999999999,yes
521,3,2.5,16128,1850.0,yes
522,3,2.5,16128,1065.0,yes
523,5,3.0,16128,4011.0,yes
524,2,1.5,16128,4342.0,yes
525,2,4.0,16128,1361.0,yes
526,3,2.5,16128,4400.0,yes
527,3,2.5,16128,13939.2,yes
528,2,2.0,16128,3871.059694427803,yes
529,3,2.0,16128,759.0,yes
530,3,2.5,16128,1436.0,yes
531,2,1.0,16128,2690.0,yes
532,3,3.0,16128,9127.0,yes
533,3,3.0,16128,7324.0,yes
534,2,1.0,16128,3871.059694427803,yes
